"from","to","relationship","relationship_detail","source","LINK_FUNCTION"
"kegg_10000","kegg_1026","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_1027","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_10488","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_107080638","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_1147","activates","activation|activation_phosphorylation","KEGG",1
"kegg_10000","kegg_1385","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_1386","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_1388","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_148327","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_2308","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_2309","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_2475","activates","activation|activation_indirect effect|activation_phosphorylation","KEGG",1
"kegg_10000","kegg_2932","inhibits","inhibition|inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_2932","other","phosphorylation","KEGG",0
"kegg_10000","kegg_3164","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_3551","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_4193","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_4217","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_468","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_4790","other","indirect effect","KEGG",0
"kegg_10000","kegg_4846","activates","activation|activation_phosphorylation","KEGG",1
"kegg_10000","kegg_51256","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_572","inhibits","inhibition|inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_572","other","phosphorylation","KEGG",0
"kegg_10000","kegg_5894","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_5970","other","indirect effect","KEGG",0
"kegg_10000","kegg_598","activates","activation","KEGG",1
"kegg_10000","kegg_6416","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_64764","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_7157","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_7248","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_7249","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_842","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_842","other","phosphorylation","KEGG",0
"kegg_10000","kegg_84335","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10000","kegg_84699","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_8517","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_90993","activates","activation_phosphorylation","KEGG",1
"kegg_10000","kegg_9586","activates","activation_phosphorylation","KEGG",1
"kegg_10018","kegg_581","activates","activation","KEGG",1
"kegg_10018","kegg_596","inhibits","inhibition","KEGG",-1
"kegg_10018","kegg_598","inhibits","inhibition","KEGG",-1
"kegg_10023","kegg_1855","other","binding_association","KEGG",0
"kegg_10023","kegg_1856","other","binding_association","KEGG",0
"kegg_10023","kegg_1857","other","binding_association","KEGG",0
"kegg_100506742","kegg_836","activates","activation","KEGG",1
"kegg_100506742","kegg_840","activates","activation","KEGG",1
"kegg_100532736","kegg_151449","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_268","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_353500","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_392255","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_650","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_652","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_653","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_654","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_655","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_656","inhibits","inhibition","KEGG",-1
"kegg_100532736","kegg_8200","inhibits","inhibition","KEGG",-1
"kegg_10125","kegg_22800","activates","activation","KEGG",1
"kegg_10125","kegg_22808","activates","activation","KEGG",1
"kegg_10125","kegg_3265","activates","activation","KEGG",1
"kegg_10125","kegg_3845","activates","activation","KEGG",1
"kegg_10125","kegg_4893","activates","activation","KEGG",1
"kegg_10125","kegg_6237","activates","activation","KEGG",1
"kegg_10148","kegg_3572","activates","activation","KEGG",1
"kegg_10148","kegg_9466","activates","activation","KEGG",1
"kegg_10161","kegg_146850","activates","activation","KEGG",1
"kegg_10161","kegg_23533","activates","activation","KEGG",1
"kegg_10161","kegg_5294","activates","activation","KEGG",1
"kegg_10163","kegg_60","activates","activation","KEGG",1
"kegg_10163","kegg_71","activates","activation","KEGG",1
"kegg_1017","kegg_1027","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_1028","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_1869","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_1870","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_1871","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_51343","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_5925","activates","activation_phosphorylation","KEGG",1
"kegg_1017","kegg_5925","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1017","kegg_990","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1019","kegg_5925","activates","activation_phosphorylation","KEGG",1
"kegg_1019","kegg_5925","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1019","kegg_5933","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1019","kegg_5934","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1019","kegg_595","other","binding_association","KEGG",0
"kegg_1021","kegg_5925","activates","activation_phosphorylation","KEGG",1
"kegg_1021","kegg_5925","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1021","kegg_5933","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1021","kegg_5934","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1021","kegg_595","other","binding_association","KEGG",0
"kegg_1022","kegg_1017","activates","activation_phosphorylation","KEGG",1
"kegg_1022","kegg_983","activates","activation_phosphorylation","KEGG",1
"kegg_10235","kegg_22800","activates","activation","KEGG",1
"kegg_10235","kegg_22808","activates","activation","KEGG",1
"kegg_10235","kegg_3265","activates","activation","KEGG",1
"kegg_10235","kegg_3845","activates","activation","KEGG",1
"kegg_10235","kegg_4893","activates","activation","KEGG",1
"kegg_10235","kegg_6237","activates","activation","KEGG",1
"kegg_10254","kegg_3716","activates","activation","KEGG",1
"kegg_10254","kegg_3717","activates","activation","KEGG",1
"kegg_10254","kegg_3718","activates","activation","KEGG",1
"kegg_10254","kegg_7297","activates","activation","KEGG",1
"kegg_1026","kegg_1017","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_1019","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_1019","other","missing interaction","KEGG",0
"kegg_1026","kegg_1021","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_26271","inhibits","inhibition_indirect effect","KEGG",-1
"kegg_1026","kegg_595","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_595","other","missing interaction","KEGG",0
"kegg_1026","kegg_890","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_8900","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_894","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_896","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_898","inhibits","inhibition","KEGG",-1
"kegg_1026","kegg_9134","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_1017","inhibits","inhibition|inhibition_missing interaction","KEGG",-1
"kegg_1027","kegg_1017","other","missing interaction","KEGG",0
"kegg_1027","kegg_1019","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_1019","other","binding_association","KEGG",0
"kegg_1027","kegg_1021","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_1021","other","binding_association","KEGG",0
"kegg_1027","kegg_595","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_595","other","binding_association","KEGG",0
"kegg_1027","kegg_890","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_8900","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_894","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_894","other","binding_association","KEGG",0
"kegg_1027","kegg_896","inhibits","inhibition","KEGG",-1
"kegg_1027","kegg_896","other","binding_association","KEGG",0
"kegg_1027","kegg_898","inhibits","inhibition|inhibition_missing interaction","KEGG",-1
"kegg_1027","kegg_898","other","missing interaction","KEGG",0
"kegg_1027","kegg_9134","inhibits","inhibition|inhibition_missing interaction","KEGG",-1
"kegg_1027","kegg_9134","other","missing interaction","KEGG",0
"kegg_102723407","kegg_5335","activates","activation","KEGG",1
"kegg_102723407","kegg_5336","activates","activation","KEGG",1
"kegg_102723407","kegg_6850","other","binding_association","KEGG",0
"kegg_102723796","kegg_11317","inhibits","inhibition","KEGG",-1
"kegg_102723796","kegg_3516","inhibits","inhibition","KEGG",-1
"kegg_102723796","kegg_51176","inhibits","inhibition","KEGG",-1
"kegg_102723796","kegg_6932","inhibits","inhibition","KEGG",-1
"kegg_102723796","kegg_6934","inhibits","inhibition","KEGG",-1
"kegg_102723796","kegg_83439","inhibits","inhibition","KEGG",-1
"kegg_1028","kegg_1017","inhibits","inhibition","KEGG",-1
"kegg_1028","kegg_1019","other","binding_association","KEGG",0
"kegg_1028","kegg_1021","other","binding_association","KEGG",0
"kegg_1028","kegg_595","other","binding_association","KEGG",0
"kegg_1028","kegg_890","inhibits","inhibition","KEGG",-1
"kegg_1028","kegg_8900","inhibits","inhibition","KEGG",-1
"kegg_1028","kegg_894","other","binding_association","KEGG",0
"kegg_1028","kegg_896","other","binding_association","KEGG",0
"kegg_102800317","kegg_6608","activates","activation_phosphorylation","KEGG",1
"kegg_1029","kegg_1019","inhibits","inhibition","KEGG",-1
"kegg_1029","kegg_1019","other","dissociation_missing interaction|missing interaction","KEGG",0
"kegg_1029","kegg_1021","inhibits","inhibition","KEGG",-1
"kegg_1029","kegg_1021","other","dissociation_missing interaction|missing interaction","KEGG",0
"kegg_1029","kegg_4193","inhibits","inhibition","KEGG",-1
"kegg_1029","kegg_4193","other","missing interaction","KEGG",0
"kegg_1029","kegg_595","inhibits","inhibition","KEGG",-1
"kegg_1029","kegg_595","other","missing interaction","KEGG",0
"kegg_1029","kegg_894","inhibits","inhibition","KEGG",-1
"kegg_1029","kegg_894","other","missing interaction","KEGG",0
"kegg_1029","kegg_896","inhibits","inhibition","KEGG",-1
"kegg_1029","kegg_896","other","missing interaction","KEGG",0
"kegg_10297","kegg_122011","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10297","kegg_1452","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10297","kegg_1499","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10297","kegg_1499","other","binding_association|missing interaction","KEGG",0
"kegg_10297","kegg_1855","other","binding_association","KEGG",0
"kegg_10297","kegg_1856","other","binding_association","KEGG",0
"kegg_10297","kegg_1857","other","binding_association","KEGG",0
"kegg_10297","kegg_6500","other","binding_association","KEGG",0
"kegg_10298","kegg_340156","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10298","kegg_4638","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10298","kegg_5604","other","phosphorylation","KEGG",0
"kegg_10298","kegg_5894","other","phosphorylation","KEGG",0
"kegg_10298","kegg_85366","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10298","kegg_91807","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_1030","kegg_1019","inhibits","inhibition","KEGG",-1
"kegg_1030","kegg_1021","inhibits","inhibition","KEGG",-1
"kegg_1030","kegg_595","inhibits","inhibition","KEGG",-1
"kegg_1030","kegg_894","inhibits","inhibition","KEGG",-1
"kegg_1030","kegg_896","inhibits","inhibition","KEGG",-1
"kegg_1031","kegg_1019","inhibits","inhibition","KEGG",-1
"kegg_1031","kegg_1021","inhibits","inhibition","KEGG",-1
"kegg_1031","kegg_595","inhibits","inhibition","KEGG",-1
"kegg_1031","kegg_894","inhibits","inhibition","KEGG",-1
"kegg_1031","kegg_896","inhibits","inhibition","KEGG",-1
"kegg_10319","kegg_1605","activates","activation","KEGG",1
"kegg_10319","kegg_22801","activates","activation","KEGG",1
"kegg_10319","kegg_22987","activates","activation","KEGG",1
"kegg_10319","kegg_3655","activates","activation","KEGG",1
"kegg_10319","kegg_3672","activates","activation","KEGG",1
"kegg_10319","kegg_3673","activates","activation","KEGG",1
"kegg_10319","kegg_3674","activates","activation","KEGG",1
"kegg_10319","kegg_3675","activates","activation","KEGG",1
"kegg_10319","kegg_3676","activates","activation","KEGG",1
"kegg_10319","kegg_3678","activates","activation","KEGG",1
"kegg_10319","kegg_3679","activates","activation","KEGG",1
"kegg_10319","kegg_3680","activates","activation","KEGG",1
"kegg_10319","kegg_3685","activates","activation","KEGG",1
"kegg_10319","kegg_3688","activates","activation","KEGG",1
"kegg_10319","kegg_3690","activates","activation","KEGG",1
"kegg_10319","kegg_3691","activates","activation","KEGG",1
"kegg_10319","kegg_3693","activates","activation","KEGG",1
"kegg_10319","kegg_3694","activates","activation","KEGG",1
"kegg_10319","kegg_3695","activates","activation","KEGG",1
"kegg_10319","kegg_3696","activates","activation","KEGG",1
"kegg_10319","kegg_5747","activates","activation","KEGG",1
"kegg_10319","kegg_8515","activates","activation","KEGG",1
"kegg_10319","kegg_8516","activates","activation","KEGG",1
"kegg_10319","kegg_960","activates","activation","KEGG",1
"kegg_10319","kegg_9899","activates","activation","KEGG",1
"kegg_10319","kegg_9900","activates","activation","KEGG",1
"kegg_1032","kegg_1019","inhibits","inhibition","KEGG",-1
"kegg_1032","kegg_1021","inhibits","inhibition","KEGG",-1
"kegg_1032","kegg_595","inhibits","inhibition","KEGG",-1
"kegg_1032","kegg_894","inhibits","inhibition","KEGG",-1
"kegg_1032","kegg_896","inhibits","inhibition","KEGG",-1
"kegg_10325","kegg_2475","activates","activation","KEGG",1
"kegg_10325","kegg_58528","other","binding_association","KEGG",0
"kegg_10325","kegg_64121","other","binding_association","KEGG",0
"kegg_10342","kegg_3265","other","indirect effect","KEGG",0
"kegg_10342","kegg_3845","other","indirect effect","KEGG",0
"kegg_10342","kegg_4893","other","indirect effect","KEGG",0
"kegg_10344","kegg_1232","activates","activation","KEGG",1
"kegg_10368","kegg_10125","other","compound","KEGG",0
"kegg_10368","kegg_10235","other","compound","KEGG",0
"kegg_10368","kegg_115727","other","compound","KEGG",0
"kegg_10368","kegg_25780","other","compound","KEGG",0
"kegg_10368","kegg_5923","other","compound","KEGG",0
"kegg_10368","kegg_5924","other","compound","KEGG",0
"kegg_10369","kegg_10125","other","compound","KEGG",0
"kegg_10369","kegg_10235","other","compound","KEGG",0
"kegg_10369","kegg_115727","other","compound","KEGG",0
"kegg_10369","kegg_25780","other","compound","KEGG",0
"kegg_10369","kegg_5923","other","compound","KEGG",0
"kegg_10369","kegg_5924","other","compound","KEGG",0
"kegg_10379","kegg_6772","other","binding_association","KEGG",0
"kegg_10379","kegg_6773","other","binding_association","KEGG",0
"kegg_103910","kegg_60","activates","activation","KEGG",1
"kegg_103910","kegg_71","activates","activation","KEGG",1
"kegg_10393","kegg_10393","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_10744","inhibits","inhibition_ubiquitination","KEGG",-1
"kegg_10393","kegg_119504","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_246184","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_25847","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_25906","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_29882","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_29945","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_51343","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_51343","inhibits","inhibition","KEGG",-1
"kegg_10393","kegg_51433","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_51434","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_51529","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_5347","inhibits","inhibition_ubiquitination","KEGG",-1
"kegg_10393","kegg_64682","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_8697","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_8881","activates","activation_indirect effect","KEGG",1
"kegg_10393","kegg_9232","inhibits","inhibition_ubiquitination","KEGG",-1
"kegg_10393","kegg_996","activates","activation_indirect effect","KEGG",1
"kegg_10398","kegg_60","activates","activation","KEGG",1
"kegg_10398","kegg_71","activates","activation","KEGG",1
"kegg_10401","kegg_6772","inhibits","inhibition","KEGG",-1
"kegg_10401","kegg_6773","inhibits","inhibition","KEGG",-1
"kegg_10401","kegg_6774","inhibits","inhibition","KEGG",-1
"kegg_10401","kegg_6775","inhibits","inhibition","KEGG",-1
"kegg_10401","kegg_6776","inhibits","inhibition","KEGG",-1
"kegg_10401","kegg_6777","inhibits","inhibition","KEGG",-1
"kegg_10401","kegg_6778","inhibits","inhibition","KEGG",-1
"kegg_10411","kegg_22800","activates","activation","KEGG",1
"kegg_10411","kegg_5599","activates","activation","KEGG",1
"kegg_10411","kegg_5601","activates","activation","KEGG",1
"kegg_10411","kegg_5602","activates","activation","KEGG",1
"kegg_10411","kegg_5906","activates","activation","KEGG",1
"kegg_10411","kegg_5908","activates","activation","KEGG",1
"kegg_10411","kegg_6237","activates","activation","KEGG",1
"kegg_1045","kegg_1015","activates","expression","KEGG",1
"kegg_1045","kegg_4583","activates","expression","KEGG",1
"kegg_1045","kegg_5243","activates","expression","KEGG",1
"kegg_1045","kegg_6469","inhibits","repression","KEGG",-1
"kegg_1045","kegg_83998","activates","expression","KEGG",1
"kegg_10451","kegg_5879","activates","activation","KEGG",1
"kegg_10451","kegg_5880","activates","activation","KEGG",1
"kegg_10451","kegg_5881","activates","activation","KEGG",1
"kegg_10454","kegg_6885","activates","activation","KEGG",1
"kegg_10458","kegg_60","activates","activation","KEGG",1
"kegg_10458","kegg_71","activates","activation","KEGG",1
"kegg_10459","kegg_10393","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_119504","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_246184","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_25847","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_25906","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_29882","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_29945","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_51433","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_51434","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_51529","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_64682","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_8697","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_8881","inhibits","inhibition","KEGG",-1
"kegg_10459","kegg_996","inhibits","inhibition","KEGG",-1
"kegg_10468","kegg_3624","inhibits","inhibition","KEGG",-1
"kegg_10468","kegg_3625","inhibits","inhibition","KEGG",-1
"kegg_10468","kegg_3626","inhibits","inhibition","KEGG",-1
"kegg_10468","kegg_83729","inhibits","inhibition","KEGG",-1
"kegg_10488","kegg_1387","inhibits","inhibition","KEGG",-1
"kegg_10488","kegg_2033","inhibits","inhibition","KEGG",-1
"kegg_10488","kegg_2353","activates","expression","KEGG",1
"kegg_10488","kegg_3725","activates","expression","KEGG",1
"kegg_10488","kegg_4170","activates","expression","KEGG",1
"kegg_10488","kegg_596","activates","expression","KEGG",1
"kegg_10488","kegg_627","activates","expression","KEGG",1
"kegg_10499","kegg_100653049","activates","expression","KEGG",1
"kegg_10499","kegg_125115","activates","expression","KEGG",1
"kegg_10499","kegg_147183","activates","expression","KEGG",1
"kegg_10499","kegg_1509","activates","expression","KEGG",1
"kegg_10499","kegg_162605","activates","expression","KEGG",1
"kegg_10499","kegg_192666","activates","expression","KEGG",1
"kegg_10499","kegg_25984","activates","expression","KEGG",1
"kegg_10499","kegg_342574","activates","expression","KEGG",1
"kegg_10499","kegg_353288","activates","expression","KEGG",1
"kegg_10499","kegg_3857","activates","expression","KEGG",1
"kegg_10499","kegg_3858","activates","expression","KEGG",1
"kegg_10499","kegg_3859","activates","expression","KEGG",1
"kegg_10499","kegg_3860","activates","expression","KEGG",1
"kegg_10499","kegg_3861","activates","expression","KEGG",1
"kegg_10499","kegg_3866","activates","expression","KEGG",1
"kegg_10499","kegg_3868","activates","expression","KEGG",1
"kegg_10499","kegg_3872","activates","expression","KEGG",1
"kegg_10499","kegg_3875","activates","expression","KEGG",1
"kegg_10499","kegg_3880","activates","expression","KEGG",1
"kegg_10499","kegg_3881","activates","expression","KEGG",1
"kegg_10499","kegg_3882","activates","expression","KEGG",1
"kegg_10499","kegg_3883","activates","expression","KEGG",1
"kegg_10499","kegg_3884","activates","expression","KEGG",1
"kegg_10499","kegg_3885","activates","expression","KEGG",1
"kegg_10499","kegg_3886","activates","expression","KEGG",1
"kegg_10499","kegg_390792","activates","expression","KEGG",1
"kegg_10499","kegg_5241","activates","expression","KEGG",1
"kegg_10499","kegg_54474","activates","expression","KEGG",1
"kegg_10499","kegg_5914","activates","expression","KEGG",1
"kegg_10499","kegg_596","activates","expression","KEGG",1
"kegg_10499","kegg_7031","activates","expression","KEGG",1
"kegg_10499","kegg_7039","activates","expression","KEGG",1
"kegg_10499","kegg_8687","activates","expression","KEGG",1
"kegg_10499","kegg_8688","activates","expression","KEGG",1
"kegg_10499","kegg_8689","activates","expression","KEGG",1
"kegg_10499","kegg_9166","activates","expression","KEGG",1
"kegg_1050","kegg_1441","other","missing interaction","KEGG",0
"kegg_1050","kegg_1869","other","missing interaction","KEGG",0
"kegg_1050","kegg_1870","other","missing interaction","KEGG",0
"kegg_1050","kegg_1871","other","missing interaction","KEGG",0
"kegg_1050","kegg_3569","other","missing interaction","KEGG",0
"kegg_1050","kegg_4609","other","missing interaction","KEGG",0
"kegg_1050","kegg_8864","other","missing interaction","KEGG",0
"kegg_10542","kegg_10325","activates","activation","KEGG",1
"kegg_10542","kegg_10670","activates","activation","KEGG",1
"kegg_10542","kegg_58528","activates","activation","KEGG",1
"kegg_10542","kegg_64121","activates","activation","KEGG",1
"kegg_10563","kegg_2833","activates","activation","KEGG",1
"kegg_10563","kegg_643","activates","activation","KEGG",1
"kegg_10572","kegg_596","inhibits","inhibition","KEGG",-1
"kegg_10572","kegg_598","inhibits","inhibition","KEGG",-1
"kegg_10580","kegg_4301","other","binding_association","KEGG",0
"kegg_10627","kegg_60","activates","activation","KEGG",1
"kegg_10627","kegg_71","activates","activation","KEGG",1
"kegg_10637","kegg_4838","inhibits","inhibition","KEGG",-1
"kegg_10637","kegg_7040","inhibits","inhibition","KEGG",-1
"kegg_10637","kegg_7042","inhibits","inhibition","KEGG",-1
"kegg_10637","kegg_7043","inhibits","inhibition","KEGG",-1
"kegg_10641","kegg_10325","inhibits","inhibition","KEGG",-1
"kegg_10641","kegg_10670","inhibits","inhibition","KEGG",-1
"kegg_10670","kegg_2475","activates","activation","KEGG",1
"kegg_10670","kegg_58528","other","binding_association","KEGG",0
"kegg_10670","kegg_64121","other","binding_association","KEGG",0
"kegg_10673","kegg_115650","activates","activation","KEGG",1
"kegg_10673","kegg_23495","activates","activation","KEGG",1
"kegg_10673","kegg_608","activates","activation","KEGG",1
"kegg_10681","kegg_146850","activates","activation","KEGG",1
"kegg_10681","kegg_23533","activates","activation","KEGG",1
"kegg_10681","kegg_5294","activates","activation","KEGG",1
"kegg_106821730","kegg_340156","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_106821730","kegg_4638","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_106821730","kegg_5604","other","phosphorylation","KEGG",0
"kegg_106821730","kegg_5894","other","phosphorylation","KEGG",0
"kegg_106821730","kegg_85366","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_106821730","kegg_91807","inhibits","inhibition_phosphorylation","KEGG",-1
"kegg_10683","kegg_4851","activates","activation","KEGG",1
"kegg_10683","kegg_4853","activates","activation","KEGG",1
"kegg_10683","kegg_4854","activates","activation","KEGG",1
"kegg_10683","kegg_4855","activates","activation","KEGG",1
"kegg_107","kegg_5566","other","compound","KEGG",0
"kegg_107","kegg_5567","other","compound","KEGG",0
"kegg_107","kegg_5568","other","compound","KEGG",0
"kegg_107","kegg_C00575","activates","activation","KEGG",1
"kegg_107080638","kegg_6009","inhibits","inhibition","KEGG",-1
"kegg_10744","kegg_9700","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_329","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_330","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_331","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_332","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_596","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_598","inhibits","inhibition","KEGG",-1
"kegg_1075","kegg_637","activates","activation","KEGG",1
"kegg_108","kegg_5566","other","compound","KEGG",0
"kegg_108","kegg_5567","other","compound","KEGG",0
"kegg_108","kegg_5568","other","compound","KEGG",0
"kegg_108","kegg_C00575","activates","activation","KEGG",1
"kegg_10800","kegg_2767","activates","activation","KEGG",1
"kegg_10800","kegg_2769","activates","activation","KEGG",1
"kegg_10800","kegg_2776","activates","activation","KEGG",1
"kegg_10800","kegg_9630","activates","activation","KEGG",1
"kegg_1081","kegg_117","activates","activation","KEGG",1
"kegg_1081","kegg_135","activates","activation","KEGG",1
"kegg_1081","kegg_1394","activates","activation","KEGG",1
"kegg_1081","kegg_1395","activates","activation","KEGG",1
"kegg_1081","kegg_139760","activates","activation","KEGG",1
"kegg_1081","kegg_153","activates","activation","KEGG",1
"kegg_1081","kegg_154","activates","activation","KEGG",1
"kegg_1081","kegg_1812","activates","activation","KEGG",1
"kegg_1081","kegg_1816","activates","activation","KEGG",1
"kegg_1081","kegg_2492","activates","activation","KEGG",1
"kegg_1081","kegg_2696","activates","activation","KEGG",1
"kegg_1081","kegg_2740","activates","activation","KEGG",1
"kegg_1081","kegg_3360","activates","activation","KEGG",1
"kegg_1081","kegg_3362","activates","activation","KEGG",1
"kegg_1081","kegg_3973","activates","activation","KEGG",1
"kegg_1081","kegg_4158","activates","activation","KEGG",1
"kegg_1081","kegg_4881","activates","activation","KEGG",1
"kegg_1081","kegg_5732","activates","activation","KEGG",1
"kegg_1081","kegg_7253","activates","activation","KEGG",1
"kegg_1081","kegg_7434","activates","activation","KEGG",1
"kegg_10810","kegg_60","activates","activation","KEGG",1
"kegg_10810","kegg_71","activates","activation","KEGG",1
"kegg_10850","kegg_1232","activates","activation","KEGG",1
"kegg_10850","kegg_2826","activates","activation","KEGG",1
"kegg_10850","kegg_729230","activates","activation","KEGG",1
"kegg_109","kegg_5566","other","compound","KEGG",0
"kegg_109","kegg_5567","other","compound","KEGG",0
"kegg_109","kegg_5568","other","compound","KEGG",0
"kegg_109","kegg_C00575","activates","activation","KEGG",1
"kegg_10912","kegg_4216","activates","activation","KEGG",1
"kegg_10912","kegg_5111","activates","activation","KEGG",1
"kegg_10912","kegg_85417","inhibits","inhibition","KEGG",-1
"kegg_10912","kegg_891","inhibits","inhibition","KEGG",-1
"kegg_10912","kegg_9133","inhibits","inhibition","KEGG",-1
"kegg_10912","kegg_983","inhibits","inhibition","KEGG",-1
